Designator,Mid X,Mid Y,Rotation,Layer
J1,57.424,-103.637,90.0,top
J2,46.228,-87.122,180.0,top
SW1,93.37787,-79.75,0.0,top
SW10,213.36,-127.375,0.0,top
SW11,193.675001,-127.375,0.0,top
SW12,233.045,-127.375,0.0,top
SW13,213.36,-107.69,0.0,top
SW14,135.89,-127.375,0.0,top
SW15,156.21,-127.375,0.0,top
SW16,116.205,-107.69,0.0,top
SW17,116.205,-127.375,0.0,top
SW2,113.03,-79.75,0.0,top
SW3,132.715,-86.1,0.0,top
SW4,159.385,-86.1,0.0,top
SW5,179.07,-79.75,0.0,top
SW6,198.755,-79.75,0.0,top
SW7,146.05,-107.69,0.0,top
SW8,66.675,-86.1,0.0,top
SW9,225.425,-86.1,0.0,top
U1,71.12,-123.825,90.0,top
